5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Barnyardvirus	Mycobacterium phage Konstantine
6	Viruses	dsDNA viruses, no RNA stage	unclassified dsDNA phages	Rhodobacter phage RcapNL
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Spounavirinae	unclassified Spounavirinae	Brochothrix phage A9
31	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage vB_EcoM_PhAPEC2
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Vhmlvirus	Vibrio phage VHML
27	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Yersinia phage phiR1-37
12	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	T7virus	Vibriophage VP4
31	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Peduovirinae	P2virus	Ralstonia phage RSY1
22	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	P22virus	Enterobacteria phage ST104
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Phietavirus	Staphylococcus phage 80alpha
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Cp220virus	Campylobacter virus CPt10
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Una961virus	Helicobacter phage 1961P
40	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Synechococcus phage Syn19
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Phietavirus	Staphylococcus phage 53
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Adzzy
5	Viruses	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Closteroviridae	Crinivirus	Blackberry yellow vein-associated virus
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	Klebsiella phage KP32
44	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Pseudomonas phage PaBG
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	L5virus	Mycobacterium phage U2
136	Viruses	dsDNA viruses, no RNA stage	Phycodnaviridae	Chlorovirus	Paramecium bursaria Chlorella virus FR483
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Clostridium phage phiMMP02
2	Viruses	dsDNA viruses, no RNA stage	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Human alphaherpesvirus 2
26	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	Iridovirus	Invertebrate iridescent virus 22
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Phifelvirus	Enterococcus phage phiFL3A
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Enterobacteria phage ES18
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Spounavirinae	unassigned Spounavirinae	Lactobacillus virus LP65
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Pclasvirinae	Fishburnevirus	Mycobacterium phage Donovan
27	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Bxz1virus	Mycobacterium phage Nappy
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lambdavirus	unclassified Lambda-like viruses	Enterobacteria phage HK633
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	unclassified phiKMV-like phages	Xylella phage Paz
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lactobacillus phage phiAT3
29	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Phaux
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Geobacillus phage GBSV1
25	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Synechococcus phage ACG-2014h
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Liberibacter phage SC2
38	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Psychrobacter phage pOW20-A
25	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Cjw1virus	Mycobacterium virus 244
15	Viruses	dsDNA viruses, no RNA stage	Poxviridae	Chordopoxvirinae	Orthopoxvirus	Monkeypox virus Zaire-96-I-16
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	T7virus	Salmonella phage Vi06
35	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	E125virus	Burkholderia virus phiE125
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Bdellovibrio phage phi1422
24	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Podovirus Lau218
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Dickeya phage RC-2014
1	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Pa6virus	Propionibacterium phage P100_A
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Crossroads
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Peduovirinae	Hp1virus	Vibrio phage K139
29	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Aeromonas phage phiAS5
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	D3112virus	Pseudomonas phage D3112
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	unclassified phiKMV-like phages	Pseudomonas phage phi-2
7	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Che8virus	Mycobacterium phage SG4
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	L5virus	Mycobacterium phage Obama12
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Rhodococcus phage ReqiDocB7
27	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	B4virus	Bacillus phage Spock
11	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus	Mamestra configurata nucleopolyhedrovirus B
22	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Bxz1virus	Mycobacterium phage ScottMcG
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	L5virus	Mycobacterium phage Perseus
4	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	Megalocytivirus	Infectious spleen and kidney necrosis virus
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Tunavirinae	Rogue1virus	Escherichia phage vB_EcoS_AHS24
13	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Cronobacter phage vB_CsaM_GAP161
4	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus	Trichoplusia ni single nucleopolyhedrovirus
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Vp5virus	Vibrio phage VP5
1	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Pa6virus	Propionibacterium phage PHL060L00
16	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Vequintavirinae	Cronobacter phage CR3
109	Viruses	dsDNA viruses, no RNA stage	Phycodnaviridae	unclassified Phycodnaviridae	Aureococcus anophagefferens virus
5	Viruses	dsDNA viruses, no RNA stage	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Simplexvirus	Macacine alphaherpesvirus 1
22	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Wanda
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage 32HC
2	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	Betabaculovirus	Epinotia aporema granulovirus
322	Viruses	dsDNA viruses, no RNA stage	Mimiviridae	unclassified Mimiviridae	Megavirus chiliensis
31	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Rhizobium phage vB_RleS_L338C
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage 40AC
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Vequintavirinae	Escherichia phage JES2013
14	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Muvirus	Escherichia virus Mu
88	Viruses	dsDNA viruses, no RNA stage	Poxviridae	Entomopoxvirinae	Alphaentomopoxvirus	Anomala cuprea entomopoxvirus
9	Viruses	ssDNA viruses	Inoviridae	Habenivirus	Ralstonia phage RSM1
7	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	N4virus	unclassified N4likevirus	Vibrio phage VBP47
7	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Staphylococcus phage SMSAP5
22	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Bxz1virus	Mycobacterium phage ArcherS7
12	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage Lw1
11	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Escherichia phage ECML-134
20	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Erwinia phage PhiEaH1
7	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Shewanella sp. phage 3/49
20	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	P12024virus	Nonlabens phage P12024L
1	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Pa6virus	Propionibacterium phage ATCC29399B_T
18	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	Iridovirus	Armadillidium vulgare iridescent virus
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Shewanella sp. phage 1/41
13	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Shigella phage Shfl2
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	Escherichia phage K30
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Angel
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Phifelvirus	Enterococcus phage phiFL2A
7	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Echild
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Burkholderia virus BcepMu
1	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Clostridium phage phiCP13O
221	Viruses	dsDNA viruses, no RNA stage	Mimiviridae	Cafeteriavirus	Cafeteria roenbergensis virus BV-PW1
10	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	L5virus	Mycobacterium phage Peaches
22	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Vequintavirinae	Escherichia phage 4MG
36	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Prochlorococcus phage Syn33
3	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Mycobacterium phage Jolie1
8	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Staphylococcus phage phi7401PVL
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Hk578virus	Escherichia virus SSL2009a
10	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Spounavirinae	Kayvirus	Staphylococcus phage GH15
40	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	Schizot4virus	unclassified Schizot4virus	Vibrio phage VH7D
6	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Lambdavirus	unclassified Lambda-like viruses	Enterobacteria phage HK630
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Tunavirinae	Rogue1virus	Escherichia phage vB_EcoS_AKS96
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	L5virus	Mycobacterium phage Che12
4	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	unclassified Autographivirinae	Cyanophage NATL1A-7
1	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Sk1virus	Lactococcus virus bIL170
6	Viruses	dsDNA viruses, no RNA stage	Herpesvirales	Herpesviridae	Alphaherpesvirinae	Varicellovirus	Equid alphaherpesvirus 1
128	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Pseudomonas phage LMA2
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Nitrincola phage 1M3-16
25	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Synechococcus phage S-RIP2
123	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	T4virus	Prochlorococcus phage P-SSM2
2	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Staphylococcus phage StauST398-3
20	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae	Autographivirinae	T7virus	Yersinia phage phiYeO3-12
7	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	Alphabaculovirus	Chrysodeixis chalcites nucleopolyhedrovirus
5	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Pseudomonas phage JG004
9	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Siphoviridae	Klebsiella phage phiKO2
12	Viruses	dsDNA viruses, no RNA stage	Caudovirales	Myoviridae	Tevenvirinae	Rb69virus	Enterobacteria phage RB69
